url,name,address,city,state,phone
https://hazletoncpa.com/,Results,"696 Front St, Nanticoke, PA 18634",Nanticoke,PA,(570) 735-0418
http://www.spivakcpa.com/,Results,"184 S Hunter Hwy, Drums, PA 18222",Drums,PA,(570) 788-6292
http://www.ndaccounting.net/,Results,"214 Pine St, Berwick, PA 18603",Berwick,PA,(570) 752-7860
https://www.ericjbleilercpa.com/,Results,"782 W Butler Dr, Sugarloaf, PA 18249",Sugarloaf,PA,(570) 788-7000
http://fredblasecpa.com/index.php,Results,"6 Brookhill Square W, Sugarloaf, PA 18249",Sugarloaf,PA,(570) 788-1040
http://www.kubishin-ator.com/,Results,"789 Airport Rd # 112, Hazle Township, PA 18202",Hazle Township,PA,(570) 454-1663
https://www.hrblock.com/tax-office-near-me/pennsylvania/conyngham/37987/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,Results,"636 PA-93, Conyngham, PA 18219",Conyngham,PA,(570) 788-1521
http://rstax.com/,Results,"601 S Market St, Nanticoke, PA 18634",Nanticoke,PA,(570) 740-2075
https://www.hrblock.com/tax-office-near-me/pennsylvania/berwick/37054/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,Results,"346 W 2nd St, Berwick, PA 18603",Berwick,PA,(570) 759-1594
https://www.hrblock.com/tax-office-near-me/pennsylvania/hazle-township/37146/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,Results,"739 Airport Rd, Hazle Township, PA 18202",Hazle Township,PA,(570) 455-9453
https://www.hrblock.com/tax-office-near-me/pennsylvania/nanticoke/26797/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,Results,"5-7 N Market St, Nanticoke, PA 18634",Nanticoke,PA,(570) 735-7343
http://www.primeba.com/,Results,"80 Waterton Hill Rd, Shickshinny, PA 18655",Shickshinny,PA,(570) 204-6689
https://www.clementecpa.com/sugarloaf-office,Results,"662 S Main St, Sugarloaf, PA 18249",Sugarloaf,PA,(570) 788-1012
http://jagfinancialboutique.com/,Results,"670 Main St, Sugar Notch, PA 18706",Sugar Notch,PA,(570) 931-3326
